Tree_ID,Height_m,Mean_Height_m,Crown_Area_m2,Crown_Volume_m3,AGB_kg
350,50.0,13.6285715,1.7011811154137193,23.18467,1.1592335
351,54.0,15.277353,1.9101833667359764,29.182547,1.4591273
352,54.0,17.084112,0.5200753695693371,8.885026,0.4442513
353,37.0,16.861841,1.4775973116736305,24.915012,1.2457507
354,48.0,17.513762,0.5297964045145583,9.2787285,0.46393642
355,39.0,17.20675,1.1519426410087186,19.82119,0.9910595
356,38.0,16.37629,1.8858807793729233,30.883728,1.5441865
357,53.0,17.319149,0.6853329636380984,11.869384,0.5934692
358,38.0,16.026936,1.4435736893653561,23.136065,1.1568033
359,37.0,15.478965,1.5018998990366836,23.247856,1.1623929
360,32.0,18.791971,1.3317817874953117,25.026806,1.2513403
361,48.0,18.035212,0.690193481110709,12.447785,0.62238926
362,55.0,18.5,0.40828346769929263,7.553244,0.3776622
363,32.0,16.785715,1.6331338707971705,27.413319,1.3706659
364,43.0,13.910299,1.4630157592557986,20.350986,1.0175494
365,37.0,18.510345,0.7047750335285409,13.0456295,0.65228146
366,41.0,17.547945,0.7096355510011515,12.452646,0.6226323
367,61.0,17.142857,0.5784015792406646,9.915456,0.4957728
368,40.0,14.054893,2.0365568210238525,28.623589,1.4311794
369,37.0,16.716417,0.976964011994736,16.331339,0.81656694
370,57.0,16.901554,0.938079872213851,15.855008,0.7927504
371,42.0,16.399351,1.497039381564073,24.550474,1.2275237
372,39.0,17.876923,0.9478009071590723,16.943764,0.8471882
373,42.0,15.342008,1.3074792001322586,20.059357,1.0029678
374,44.0,17.666666,0.6999145160559302,12.365157,0.6182579
375,53.0,17.664,0.6075646840763284,10.732023,0.5366012
376,37.0,16.70497,1.5650866261806218,26.144724,1.3072362
377,38.0,18.462427,0.8408695227616384,15.524493,0.7762247
378,50.0,15.134409,0.9040562499055765,13.682357,0.68411785
379,35.0,19.170214,0.6853329636380984,13.137979,0.6568989
380,38.0,16.404606,1.4775973116736305,24.2394,1.2119701
381,37.0,19.223757,1.7595073250850468,33.82434,1.6912171
382,44.0,16.588652,0.6853329636380984,11.368751,0.5684375
383,42.0,15.668181,1.069313843974338,16.754204,0.8377102
384,61.0,17.753246,0.37425984539101825,6.6443276,0.33221638
385,41.0,17.776745,1.0450112566112848,18.576899,0.9288449
386,44.0,17.807018,0.5540989918776115,9.866851,0.49334255
